Theory	SID	TID	Binding	NLSentence	OrigSentences	Triple/RuleIDs	Triples/Rule
AttNoneg996-theory	sent4	362	Gary	Gary was born only a few years ago so he is young.	Gary is young. 	triple7 	("Gary" "is" "young" "+") 
AttNoneg996-theory	sent5	882		A round person who is nice and feelin cold is usually rough in apperance.	If someone is round and nice and cold then they are rough.	rule1	((("someone" "is" "round" "+") ("someone" "is" "nice" "+") ("someone" "is" "cold" "+")) -> ("someone" "is" "rough" "+"))
AttNoneg996-theory	sent6	959		A green person who is kind and a bit blue is young.	If someone is blue and kind and green then they are young.	rule2	((("someone" "is" "blue" "+") ("someone" "is" "kind" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "young" "+"))
AttNoneg996-theory	sent7	982		If you meet a nice, young, red man, you will see that they are big too.	If someone is young and nice and red then they are big.	rule3	((("someone" "is" "young" "+") ("someone" "is" "nice" "+") ("someone" "is" "red" "+")) -> ("someone" "is" "big" "+"))
AttNoneg996-theory	sent8	1120		Round, rough people blue with sadness turn out to be green.	If someone is blue and round and rough then they are green.	rule4	((("someone" "is" "blue" "+") ("someone" "is" "round" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "green" "+"))
AttNoneg996-theory	sent9	1238		Any big, kind person that turns red is cold to the touch.	If someone is red and big and kind then they are cold.	rule5	((("someone" "is" "red" "+") ("someone" "is" "big" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "cold" "+"))
AttNoneg996-theory	sent10	1807		Being green, blue, and red all point to how young someone was.	If someone is green and blue and red then they are young.	rule6	((("someone" "is" "green" "+") ("someone" "is" "blue" "+") ("someone" "is" "red" "+")) -> ("someone" "is" "young" "+"))
AttNoneg996-theory	sent11	2206		It's true that green and blue people are also red people.	If someone is green and blue then they are red.	rule7	((("someone" "is" "green" "+") ("someone" "is" "blue" "+")) -> ("someone" "is" "red" "+"))

AttNoneg997-theory	sent1	231	Alan	Upon meeting Alan, you'll notice he's green and kind.	Alan is kind. Alan is green. 	triple1 triple2 	("Alan" "is" "kind" "+") ("Alan" "is" "green" "+") 
AttNoneg997-theory	sent2	571	Eric	Eric is young and rough and comes across as cold, but he is just young and green. Really, he is as nice and kind as you could want.	Eric is young. Eric is rough. Eric is nice. Eric is kind. Eric is green. Eric is cold. 	triple3 triple4 triple5 triple6 triple7 triple8 	("Eric" "is" "young" "+") ("Eric" "is" "rough" "+") ("Eric" "is" "nice" "+") ("Eric" "is" "kind" "+") ("Eric" "is" "green" "+") ("Eric" "is" "cold" "+") 
AttNoneg997-theory	sent3	312	Gary	This Gary guy is red. He is also kind and yet cold.	Gary is red. Gary is kind. Gary is cold. 	triple9 triple10 triple11 	("Gary" "is" "red" "+") ("Gary" "is" "kind" "+") ("Gary" "is" "cold" "+") 
AttNoneg997-theory	sent4	35	Harry	Harry always goes out of his way to show that he is kind to people.	Harry is kind. 	triple12 	("Harry" "is" "kind" "+") 
AttNoneg997-theory	sent5	707		Green and blue people have a habit of being cold, which makes them red too.	If someone is green and blue and cold then they are red.	rule1	((("someone" "is" "green" "+") ("someone" "is" "blue" "+") ("someone" "is" "cold" "+")) -> ("someone" "is" "red" "+"))
AttNoneg997-theory	sent6	832		Red, kind, young people will be rough people, too.	If someone is young and kind and red then they are rough.	rule2	((("someone" "is" "young" "+") ("someone" "is" "kind" "+") ("someone" "is" "red" "+")) -> ("someone" "is" "rough" "+"))
AttNoneg997-theory	sent7	1252		A rough person that is cold towards others is green.	If someone is rough and cold then they are green.	rule3	((("someone" "is" "rough" "+") ("someone" "is" "cold" "+")) -> ("someone" "is" "green" "+"))
AttNoneg997-theory	sent8	1419		Green people here that are also round and nice are always rough.	If someone is nice and round and green then they are rough.	rule4	((("someone" "is" "nice" "+") ("someone" "is" "round" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "rough" "+"))
AttNoneg997-theory	sent9	2271		Most big and kind people,though young,are often blue.	If someone is big and kind and young then they are blue.	rule5	((("someone" "is" "big" "+") ("someone" "is" "kind" "+") ("someone" "is" "young" "+")) -> ("someone" "is" "blue" "+"))
AttNoneg997-theory	sent10	2343		If you run into a cold and kind person, they are always big.	If someone is cold and kind then they are big.	rule6	((("someone" "is" "cold" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "big" "+"))

AttNoneg998-theory	sent1	613	Alan	Alan is known to be rough and green.	Alan is rough. Alan is green. 	triple1 triple2 	("Alan" "is" "rough" "+") ("Alan" "is" "green" "+") 
AttNoneg998-theory	sent2	7	Bob	Bob became more and more round and nice and kind, but he couldn't stop being cold and big.	Bob is round. Bob is nice. Bob is kind. Bob is cold. Bob is big. 	triple3 triple4 triple5 triple6 triple7 	("Bob" "is" "round" "+") ("Bob" "is" "nice" "+") ("Bob" "is" "kind" "+") ("Bob" "is" "cold" "+") ("Bob" "is" "big" "+") 
AttNoneg998-theory	sent3	328	Fred	Fred wears all blue.	Fred is blue. 	triple8 	("Fred" "is" "blue" "+") 
AttNoneg998-theory	sent4	241	Harry	Big Harry is nice but also rough.	Harry is rough. Harry is nice. Harry is big. 	triple9 triple10 triple11 	("Harry" "is" "rough" "+") ("Harry" "is" "nice" "+") ("Harry" "is" "big" "+") 
AttNoneg998-theory	sent5	725		A big person who is kind but blue is cold.	If someone is blue and kind and big then they are cold.	rule1	((("someone" "is" "blue" "+") ("someone" "is" "kind" "+") ("someone" "is" "big" "+")) -> ("someone" "is" "cold" "+"))
AttNoneg998-theory	sent6	936		Those who are nice but a bit rough around the edges are known for being blue.	If someone is nice and rough then they are blue.	rule2	((("someone" "is" "nice" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "blue" "+"))
AttNoneg998-theory	sent7	1385		When someone is young and round, dressing in blue they can be nice.	If someone is round and young and blue then they are nice.	rule3	((("someone" "is" "round" "+") ("someone" "is" "young" "+") ("someone" "is" "blue" "+")) -> ("someone" "is" "nice" "+"))
AttNoneg998-theory	sent8	1401		If a person that is kind is big and blue they have to be young.	If someone is blue and kind and big then they are young.	rule4	((("someone" "is" "blue" "+") ("someone" "is" "kind" "+") ("someone" "is" "big" "+")) -> ("someone" "is" "young" "+"))
AttNoneg998-theory	sent9	1411		When someone feels blue and rough, they might be described as green.	If someone is blue and rough then they are green.	rule5	((("someone" "is" "blue" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "green" "+"))
AttNoneg998-theory	sent10	1622		You will discover that green rough people are always red.	If someone is green and rough then they are red.	rule6	((("someone" "is" "green" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "red" "+"))
AttNoneg998-theory	sent11	1958		A blue colored person who is very nice and kind will be round shaped.	If someone is blue and nice and kind then they are round.	rule7	((("someone" "is" "blue" "+") ("someone" "is" "nice" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "round" "+"))

AttNoneg999-theory	sent1	55	Bob	Bob is very nice to people, but he's also rather big.	Bob is nice. Bob is big. 	triple1 triple2 	("Bob" "is" "nice" "+") ("Bob" "is" "big" "+") 
AttNoneg999-theory	sent2	119	Dave	Dave who is considered nice was feeling rather rough today.	Dave is rough. Dave is nice. 	triple3 triple4 	("Dave" "is" "rough" "+") ("Dave" "is" "nice" "+") 
AttNoneg999-theory	sent3	423	Eric	They always call him rough Eric.	Eric is rough. 	triple5 	("Eric" "is" "rough" "+") 
AttNoneg999-theory	sent4	560	Gary	Gary is a big gentleman who is very nice. He is secretly green with envy.	Gary is nice. Gary is green. Gary is big. 	triple6 triple7 triple8 	("Gary" "is" "nice" "+") ("Gary" "is" "green" "+") ("Gary" "is" "big" "+") 
AttNoneg999-theory	sent5	712		A round and nice person will certainly have a red tint to them.	If someone is round and nice then they are red.	rule1	((("someone" "is" "round" "+") ("someone" "is" "nice" "+")) -> ("someone" "is" "red" "+"))
AttNoneg999-theory	sent6	770		A cold temperatured and green colored person who is also big will be young.	If someone is big and green and cold then they are young.	rule2	((("someone" "is" "big" "+") ("someone" "is" "green" "+") ("someone" "is" "cold" "+")) -> ("someone" "is" "young" "+"))
AttNoneg999-theory	sent7	829		Kind, young, green persons are sure to be rough persons, too.	If someone is kind and young and green then they are rough.	rule3	((("someone" "is" "kind" "+") ("someone" "is" "young" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "rough" "+"))
AttNoneg999-theory	sent8	1255		If you are green you are also kind.	If someone is green then they are kind.	rule4	((("someone" "is" "green" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg999-theory	sent9	1392		It is true that anyone who is cold while being young and nice is secretly a kind person.	If someone is nice and cold and young then they are kind.	rule5	((("someone" "is" "nice" "+") ("someone" "is" "cold" "+") ("someone" "is" "young" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg999-theory	sent10	1883		Anybody that fits the nice, kind and big descriptors will also fit the descriptor of cold.	If someone is big and nice and kind then they are cold.	rule6	((("someone" "is" "big" "+") ("someone" "is" "nice" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "cold" "+"))

AttNoneg1000-theory	sent1	35	Bob	Bob always goes out of his way to show that he is kind to people.	Bob is kind. 	triple1 	("Bob" "is" "kind" "+") 
AttNoneg1000-theory	sent2	31	Dave	People think that Dave is round. This might be because he is young and blue.	Dave is young. Dave is round. Dave is blue. 	triple2 triple3 triple4 	("Dave" "is" "young" "+") ("Dave" "is" "round" "+") ("Dave" "is" "blue" "+") 
AttNoneg1000-theory	sent3	22	Eric	Eric is both big and round, with blue features.	Eric is round. Eric is blue. Eric is big. 	triple5 triple6 triple7 	("Eric" "is" "round" "+") ("Eric" "is" "blue" "+") ("Eric" "is" "big" "+") 
AttNoneg1000-theory	sent4	585	Gary	When you first meet Gary you know he is young and big, but later you find out he is also, incredibly kind, cold and rough.	Gary is young. Gary is rough. Gary is kind. Gary is cold. Gary is big. 	triple8 triple9 triple10 triple11 triple12 	("Gary" "is" "young" "+") ("Gary" "is" "rough" "+") ("Gary" "is" "kind" "+") ("Gary" "is" "cold" "+") ("Gary" "is" "big" "+") 
AttNoneg1000-theory	sent5	874		A person that is cold, blue and nice is also considered to be round.	If someone is cold and blue and nice then they are round.	rule1	((("someone" "is" "cold" "+") ("someone" "is" "blue" "+") ("someone" "is" "nice" "+")) -> ("someone" "is" "round" "+"))
AttNoneg1000-theory	sent6	1513		A young, red person will certainly be cold.	If someone is red and young then they are cold.	rule2	((("someone" "is" "red" "+") ("someone" "is" "young" "+")) -> ("someone" "is" "cold" "+"))
AttNoneg1000-theory	sent7	1663		A big kind person that is red is almost always nice.	If someone is kind and red and big then they are nice.	rule3	((("someone" "is" "kind" "+") ("someone" "is" "red" "+") ("someone" "is" "big" "+")) -> ("someone" "is" "nice" "+"))
AttNoneg1000-theory	sent8	1892		If a person is quite big and also round then they are certainly rough too.	If someone is big and round then they are rough.	rule4	((("someone" "is" "big" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "rough" "+"))
AttNoneg1000-theory	sent9	2149		People who are rough are often rather kind as well.	If someone is rough then they are kind.	rule5	((("someone" "is" "rough" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg1000-theory	sent10	2152		People who are considered rough, blue, and nice, are also green.	If someone is rough and blue and nice then they are green.	rule6	((("someone" "is" "rough" "+") ("someone" "is" "blue" "+") ("someone" "is" "nice" "+")) -> ("someone" "is" "green" "+"))
AttNoneg1000-theory	sent11	2158		Take a drive and find a kind and blue driver, that means they are also young.	If someone is kind and blue then they are young.	rule7	((("someone" "is" "kind" "+") ("someone" "is" "blue" "+")) -> ("someone" "is" "young" "+"))

AttNoneg1001-theory	sent1	391	Alan	Though he is young, Alan is still nice despite being quite blue.	Alan is young. Alan is nice. Alan is blue. 	triple1 triple2 triple3 	("Alan" "is" "young" "+") ("Alan" "is" "nice" "+") ("Alan" "is" "blue" "+") 
AttNoneg1001-theory	sent2	268	Dave	In the snow sits Dave, crying from being cold.	Dave is cold. 	triple4 	("Dave" "is" "cold" "+") 
AttNoneg1001-theory	sent3	484	Fred	That cold kind hearted man over there with the round body, red nose, and rough blue hsirt is named Fred.	Fred is round. Fred is rough. Fred is red. Fred is kind. Fred is cold. Fred is blue. 	triple5 triple6 triple7 triple8 triple9 triple10 	("Fred" "is" "round" "+") ("Fred" "is" "rough" "+") ("Fred" "is" "red" "+") ("Fred" "is" "kind" "+") ("Fred" "is" "cold" "+") ("Fred" "is" "blue" "+") 
AttNoneg1001-theory	sent4	328	Harry	Harry wears all blue.	Harry is blue. 	triple11 	("Harry" "is" "blue" "+") 
AttNoneg1001-theory	sent5	1094		Kind big people are green and young.	If someone is kind and green and big then they are young.	rule1	((("someone" "is" "kind" "+") ("someone" "is" "green" "+") ("someone" "is" "big" "+")) -> ("someone" "is" "young" "+"))
AttNoneg1001-theory	sent6	1285		Don't be surprised to hear that all nice, kind folks are in fact rough.	If someone is nice and kind then they are rough.	rule2	((("someone" "is" "nice" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "rough" "+"))
AttNoneg1001-theory	sent7	1766		A person that is feeling blue and slightly big, is red as well.	If someone is big and blue then they are red.	rule3	((("someone" "is" "big" "+") ("someone" "is" "blue" "+")) -> ("someone" "is" "red" "+"))
AttNoneg1001-theory	sent8	1903		A person who is green and kind is usually rather big.	If someone is green and kind then they are big.	rule4	((("someone" "is" "green" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "big" "+"))
AttNoneg1001-theory	sent9	2012		Big people who at the same time are cold hearted and nice are a conundrum but they are also kind.	If someone is cold and nice and big then they are kind.	rule5	((("someone" "is" "cold" "+") ("someone" "is" "nice" "+") ("someone" "is" "big" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg1001-theory	sent10	2131		Nice green people who feel blue are often red in color.	If someone is green and blue and nice then they are red.	rule6	((("someone" "is" "green" "+") ("someone" "is" "blue" "+") ("someone" "is" "nice" "+")) -> ("someone" "is" "red" "+"))
AttNoneg1001-theory	sent11	2201		Anyone who's blue is also green.	If someone is blue then they are green.	rule7	((("someone" "is" "blue" "+")) -> ("someone" "is" "green" "+"))

AttNoneg1002-theory	sent1	469	Alan	Alan is round shaped and green colored.	Alan is round. Alan is green. 	triple1 triple2 	("Alan" "is" "round" "+") ("Alan" "is" "green" "+") 
AttNoneg1002-theory	sent2	233	Dave	Dave's a round guy, and a red and green guy.	Dave is round. Dave is red. Dave is green. 	triple3 triple4 triple5 	("Dave" "is" "round" "+") ("Dave" "is" "red" "+") ("Dave" "is" "green" "+") 
AttNoneg1002-theory	sent3	15	Eric	Eric is a nice person, but he is both blue and red.	Eric is red. Eric is nice. Eric is blue. 	triple6 triple7 triple8 	("Eric" "is" "red" "+") ("Eric" "is" "nice" "+") ("Eric" "is" "blue" "+") 
AttNoneg1002-theory	sent4	892		A round person who is cold is big.	If someone is cold and round then they are big.	rule1	((("someone" "is" "cold" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "big" "+"))
AttNoneg1002-theory	sent5	990		A kind and green person who is rough around the edges is cold.	If someone is green and rough and kind then they are cold.	rule2	((("someone" "is" "green" "+") ("someone" "is" "rough" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "cold" "+"))
AttNoneg1002-theory	sent6	1188		If you big person approaches and is cold, fear not because they are nice.	If someone is big and cold then they are nice.	rule3	((("someone" "is" "big" "+") ("someone" "is" "cold" "+")) -> ("someone" "is" "nice" "+"))
AttNoneg1002-theory	sent7	1478		When someone is nice, dressing in red, they can be blue because they are cold.	If someone is nice and blue and red then they are cold.	rule4	((("someone" "is" "nice" "+") ("someone" "is" "blue" "+") ("someone" "is" "red" "+")) -> ("someone" "is" "cold" "+"))
AttNoneg1002-theory	sent8	1730		Someone blue and red is definitely round and dressed as a clown.	If someone is blue and red then they are round.	rule5	((("someone" "is" "blue" "+") ("someone" "is" "red" "+")) -> ("someone" "is" "round" "+"))
AttNoneg1002-theory	sent9	1769		Round and big people are sure to be rough.	If someone is round and big then they are rough.	rule6	((("someone" "is" "round" "+") ("someone" "is" "big" "+")) -> ("someone" "is" "rough" "+"))
AttNoneg1002-theory	sent10	1851		Young,cold and blue people are mostly round.	If someone is blue and young and cold then they are round.	rule7	((("someone" "is" "blue" "+") ("someone" "is" "young" "+") ("someone" "is" "cold" "+")) -> ("someone" "is" "round" "+"))

AttNoneg1003-theory	sent1	423	Bob	They always call him rough Bob.	Bob is rough. 	triple1 	("Bob" "is" "rough" "+") 
AttNoneg1003-theory	sent2	269	Charlie	People think Charlie is nice and kind for someone so young.  Charlie wears his favorite color green all the time.	Charlie is young. Charlie is nice. Charlie is kind. Charlie is green. 	triple2 triple3 triple4 triple5 	("Charlie" "is" "young" "+") ("Charlie" "is" "nice" "+") ("Charlie" "is" "kind" "+") ("Charlie" "is" "green" "+") 
AttNoneg1003-theory	sent3	627	Fred	Red Fred is what folks call him, because he is quite red.	Fred is red. 	triple6 	("Fred" "is" "red" "+") 
AttNoneg1003-theory	sent4	640	Harry	Harry is round, dresses in red, but is blue with cold.	Harry is round. Harry is red. Harry is cold. Harry is blue. 	triple7 triple8 triple9 triple10 	("Harry" "is" "round" "+") ("Harry" "is" "red" "+") ("Harry" "is" "cold" "+") ("Harry" "is" "blue" "+") 
AttNoneg1003-theory	sent5	1062		A person with nice, blue traits who is young will surely be a round person.	If someone is blue and nice and young then they are round.	rule1	((("someone" "is" "blue" "+") ("someone" "is" "nice" "+") ("someone" "is" "young" "+")) -> ("someone" "is" "round" "+"))
AttNoneg1003-theory	sent6	1865		A green person is going to be rough.	If someone is green then they are rough.	rule2	((("someone" "is" "green" "+")) -> ("someone" "is" "rough" "+"))
AttNoneg1003-theory	sent7	1937		A person with the qualities of being cold and being red will also be a person that is green.	If someone is cold and red then they are green.	rule3	((("someone" "is" "cold" "+") ("someone" "is" "red" "+")) -> ("someone" "is" "green" "+"))
AttNoneg1003-theory	sent8	2241		A blue, rough and round person will also be a big person.	If someone is blue and rough and round then they are big.	rule4	((("someone" "is" "blue" "+") ("someone" "is" "rough" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "big" "+"))

AttNoneg1004-theory	sent1	31	Charlie	People think that Charlie is round. This might be because he is young and blue.	Charlie is young. Charlie is round. Charlie is blue. 	triple1 triple2 triple3 	("Charlie" "is" "young" "+") ("Charlie" "is" "round" "+") ("Charlie" "is" "blue" "+") 
AttNoneg1004-theory	sent2	494	Dave	Dave is a rather nice, big and round fellow, who is also red from a sunburn and feeling blue.	Dave is round. Dave is red. Dave is nice. Dave is blue. Dave is big. 	triple4 triple5 triple6 triple7 triple8 	("Dave" "is" "round" "+") ("Dave" "is" "red" "+") ("Dave" "is" "nice" "+") ("Dave" "is" "blue" "+") ("Dave" "is" "big" "+") 
AttNoneg1004-theory	sent3	595	Harry	Harry is both young and fairly round in size.	Harry is young. Harry is round. 	triple9 triple10 	("Harry" "is" "young" "+") ("Harry" "is" "round" "+") 
AttNoneg1004-theory	sent4	728		A round person who is nice is young.	If someone is nice and round then they are young.	rule1	((("someone" "is" "nice" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "young" "+"))
AttNoneg1004-theory	sent5	836		Young, green round people are big.	If someone is green and young and round then they are big.	rule2	((("someone" "is" "green" "+") ("someone" "is" "young" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "big" "+"))
AttNoneg1004-theory	sent6	891		A nice young person who is red is cold.	If someone is nice and red and young then they are cold.	rule3	((("someone" "is" "nice" "+") ("someone" "is" "red" "+") ("someone" "is" "young" "+")) -> ("someone" "is" "cold" "+"))
AttNoneg1004-theory	sent7	983		Young, round, and cold people have a habit of looking pretty red.	If someone is cold and young and round then they are red.	rule4	((("someone" "is" "cold" "+") ("someone" "is" "young" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "red" "+"))
AttNoneg1004-theory	sent8	1166		A nice person who is always seen to be wearing green clothes will be rather big in size.	If someone is green and nice then they are big.	rule5	((("someone" "is" "green" "+") ("someone" "is" "nice" "+")) -> ("someone" "is" "big" "+"))
AttNoneg1004-theory	sent9	1392		It is true that anyone who is cold while being young and nice is secretly a kind person.	If someone is nice and cold and young then they are kind.	rule6	((("someone" "is" "nice" "+") ("someone" "is" "cold" "+") ("someone" "is" "young" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg1004-theory	sent10	1583		Blue people who are big tend to be rough.	If someone is blue and big then they are rough.	rule7	((("someone" "is" "blue" "+") ("someone" "is" "big" "+")) -> ("someone" "is" "rough" "+"))

AttNoneg1005-theory	sent1	198	Alan	Alan is a big person who is kind to all.  He is red and blue.	Alan is red. Alan is kind. Alan is blue. Alan is big. 	triple1 triple2 triple3 triple4 	("Alan" "is" "red" "+") ("Alan" "is" "kind" "+") ("Alan" "is" "blue" "+") ("Alan" "is" "big" "+") 
AttNoneg1005-theory	sent2	426	Bob	Bob gets red when he is mad and tends to act very cold.	Bob is red. Bob is cold. 	triple5 triple6 	("Bob" "is" "red" "+") ("Bob" "is" "cold" "+") 
AttNoneg1005-theory	sent3	417	Charlie	Charlie ate some rotten meat and now feels green.	Charlie is green. 	triple7 	("Charlie" "is" "green" "+") 
AttNoneg1005-theory	sent4	35	Gary	Gary always goes out of his way to show that he is kind to people.	Gary is kind. 	triple8 	("Gary" "is" "kind" "+") 
AttNoneg1005-theory	sent5	760		People who are big and kind are also round.	If someone is kind and big then they are round.	rule1	((("someone" "is" "kind" "+") ("someone" "is" "big" "+")) -> ("someone" "is" "round" "+"))
AttNoneg1005-theory	sent6	878		Someone who is round in shape and green in color is usually cold.	If someone is green and round then they are cold.	rule2	((("someone" "is" "green" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "cold" "+"))
AttNoneg1005-theory	sent7	1168		A young person with a kind heart and big sized body will be rough around the edges.	If someone is young and kind and big then they are rough.	rule3	((("someone" "is" "young" "+") ("someone" "is" "kind" "+") ("someone" "is" "big" "+")) -> ("someone" "is" "rough" "+"))
AttNoneg1005-theory	sent8	1431		Big, round, red people are always so young.	If someone is big and round and red then they are young.	rule4	((("someone" "is" "big" "+") ("someone" "is" "round" "+") ("someone" "is" "red" "+")) -> ("someone" "is" "young" "+"))
AttNoneg1005-theory	sent9	2163		People who are nice and rough are looked at as kind.	If someone is nice and rough then they are kind.	rule5	((("someone" "is" "nice" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg1005-theory	sent10	2240		Anyone you know who is cold and kind must certainly be young.	If someone is cold and kind then they are young.	rule6	((("someone" "is" "cold" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "young" "+"))

AttNoneg1006-theory	sent1	268	Eric	In the snow sits Eric, crying from being cold.	Eric is cold. 	triple1 	("Eric" "is" "cold" "+") 
AttNoneg1006-theory	sent2	446	Fred	Fred has green teeth and rough skin. People also notice his blue eyes.	Fred is rough. Fred is green. Fred is blue. 	triple2 triple3 triple4 	("Fred" "is" "rough" "+") ("Fred" "is" "green" "+") ("Fred" "is" "blue" "+") 
AttNoneg1006-theory	sent3	415	Gary	It's easy to tell that Gary is young because he is so round. Even though he is kind it makes him green with envy of some people.	Gary is young. Gary is round. Gary is kind. Gary is green. 	triple5 triple6 triple7 triple8 	("Gary" "is" "young" "+") ("Gary" "is" "round" "+") ("Gary" "is" "kind" "+") ("Gary" "is" "green" "+") 
AttNoneg1006-theory	sent4	724		A big person who is green and cold has red skin.	If someone is big and green and cold then they are red.	rule1	((("someone" "is" "big" "+") ("someone" "is" "green" "+") ("someone" "is" "cold" "+")) -> ("someone" "is" "red" "+"))
AttNoneg1006-theory	sent5	892		A round person who is cold is big.	If someone is cold and round then they are big.	rule2	((("someone" "is" "cold" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "big" "+"))
AttNoneg1006-theory	sent6	1295		When you know someone who is young and green you can count on them being nice to everyone.	If someone is young and green then they are nice.	rule3	((("someone" "is" "young" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "nice" "+"))
AttNoneg1006-theory	sent7	1301		A big and young, round someone looks red.	If someone is big and young and round then they are red.	rule4	((("someone" "is" "big" "+") ("someone" "is" "young" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "red" "+"))
AttNoneg1006-theory	sent8	1554		Someone being both nice and kind means that they are a big person.	If someone is nice and kind then they are big.	rule5	((("someone" "is" "nice" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "big" "+"))
AttNoneg1006-theory	sent9	1797		People blue with cold are definitely green and new in these parts.	If someone is blue and cold then they are green.	rule6	((("someone" "is" "blue" "+") ("someone" "is" "cold" "+")) -> ("someone" "is" "green" "+"))
AttNoneg1006-theory	sent10	2054		A person who is red and green, will also tend to be round shaped and rough.	If someone is round and green and red then they are rough.	rule7	((("someone" "is" "round" "+") ("someone" "is" "green" "+") ("someone" "is" "red" "+")) -> ("someone" "is" "rough" "+"))

AttNoneg1007-theory	sent1	296	Bob	Bob is young, rough and green, but he is also kind and is red when embarrassed.	Bob is young. Bob is rough. Bob is red. Bob is kind. Bob is green. 	triple1 triple2 triple3 triple4 triple5 	("Bob" "is" "young" "+") ("Bob" "is" "rough" "+") ("Bob" "is" "red" "+") ("Bob" "is" "kind" "+") ("Bob" "is" "green" "+") 
AttNoneg1007-theory	sent2	417	Charlie	Charlie ate some rotten meat and now feels green.	Charlie is green. 	triple6 	("Charlie" "is" "green" "+") 
AttNoneg1007-theory	sent3	627	Dave	Red Dave is what folks call him, because he is quite red.	Dave is red. 	triple7 	("Dave" "is" "red" "+") 
AttNoneg1007-theory	sent4	89	Gary	Young Gary is a big, cold, rough person.	Gary is young. Gary is rough. Gary is cold. Gary is big. 	triple8 triple9 triple10 triple11 	("Gary" "is" "young" "+") ("Gary" "is" "rough" "+") ("Gary" "is" "cold" "+") ("Gary" "is" "big" "+") 
AttNoneg1007-theory	sent5	785		Find someone cold and green. If they are also round, then they are sure to be nice.	If someone is cold and green and round then they are nice.	rule1	((("someone" "is" "cold" "+") ("someone" "is" "green" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "nice" "+"))
AttNoneg1007-theory	sent6	1248		Rough and kind people are big.	If someone is rough and kind then they are big.	rule2	((("someone" "is" "rough" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "big" "+"))
AttNoneg1007-theory	sent7	1471		Big and cold people are likely to be round, too.	If someone is big and cold then they are round.	rule3	((("someone" "is" "big" "+") ("someone" "is" "cold" "+")) -> ("someone" "is" "round" "+"))
AttNoneg1007-theory	sent8	2269		Kind people,though green,are cold.	If someone is kind and green then they are cold.	rule4	((("someone" "is" "kind" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "cold" "+"))

AttNoneg1008-theory	sent1	78	Alan	Alan grew up in a family with six other boys and that make him a rough guy.  Right now he's feeling blue because his dog is sick.	Alan is rough. Alan is blue. 	triple1 triple2 	("Alan" "is" "rough" "+") ("Alan" "is" "blue" "+") 
AttNoneg1008-theory	sent2	377	Dave	When you see Dave, you will notice he is cold, big and kind.	Dave is kind. Dave is cold. Dave is big. 	triple3 triple4 triple5 	("Dave" "is" "kind" "+") ("Dave" "is" "cold" "+") ("Dave" "is" "big" "+") 
AttNoneg1008-theory	sent3	296	Fred	Fred is young, rough and green, but he is also kind and is red when embarrassed.	Fred is young. Fred is rough. Fred is red. Fred is kind. Fred is green. 	triple6 triple7 triple8 triple9 triple10 	("Fred" "is" "young" "+") ("Fred" "is" "rough" "+") ("Fred" "is" "red" "+") ("Fred" "is" "kind" "+") ("Fred" "is" "green" "+") 
AttNoneg1008-theory	sent4	328	Gary	Gary wears all blue.	Gary is blue. 	triple11 	("Gary" "is" "blue" "+") 
AttNoneg1008-theory	sent5	922		Pick someone blue, kind and big, and they are certain to be green as well.	If someone is blue and kind and big then they are green.	rule1	((("someone" "is" "blue" "+") ("someone" "is" "kind" "+") ("someone" "is" "big" "+")) -> ("someone" "is" "green" "+"))
